"","id_acidente","codloga","logradouroA","codlogb","logradouroB","alt_num","referencia","data","cod_acid","tipo_acidente","dp","numero_BO","sentido","pista","automovel","moto","onibus","caminhao","bicicleta","moto_taxi","onibus_fretado","onibus_urbano","microonibus","van","vuc","caminhonete","carreta","jipe","outros","sem_informacao","carroca","princ_a","paiA","princ_b","paiB","cod_distrito","distrito","vit_ferida","vit_morta","local","lat","lon"
"10441","D061300573",7397,"FRANCISCO DE ASSIS, RUA S",NA,"",834,"","03/06/2013 12:36",2,"CO",33,5244," "," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7397,"FRANCISCO DE ASSIS, RUA S",NA,"",73,"SAO DOMINGOS",1,0,"FRANCISCO DE ASSIS, RUA S 834 SAO PAULO SP",-23.4880816,-46.740188
"10442","D061301730",4839,"CHACURU, RUA",NA,"",57,"","03/06/2013 12:50",2,"CO",22,2637," "," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4839,"CHACURU, RUA",NA,"",53,"MOEMA",1,0,"CHACURU, RUA 57 SAO PAULO SP",-23.4961079,-46.4256762
"10443","D061301416",6371,"ELISABETH DE ROBIANO, AV CDSSA",NA,"",950,"","03/06/2013 12:50",2,"CL",81,1577," "," ",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29772,"MARGINAL DO RIO TIETE, AV",NA,"",82,"TATUAPE",1,0,"ELISABETH DE ROBIANO, AV CDSSA 950 SAO PAULO SP",-23.5076424,-46.5495997
"10444","D061301928",13671,"MATEO BEI, AV",NA,"",1200,"","03/06/2013 13:00",4,"AT",49,1863," "," ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13671,"MATEO BEI, AV",NA,"",75,"SAO MATEUS",1,0,"MATEO BEI, AV 1200 SAO PAULO SP",-23.5938807,-46.4883597
"10445","D061300678",9529,"ITAPECERICA, ES DE",NA,"",910,"","03/06/2013 13:00",2,"CH",37,6095," "," ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9529,"ITAPECERICA, ES DE",NA,"",29,"FREGUESIA DO O",1,0,"ITAPECERICA, ES DE 910 SAO PAULO SP",-23.5505199,-46.6333094
"10446","D061300601",16337,"ELISEU DE ALMEIDA, AV",NA,"",2779,"","03/06/2013 13:10",4,"AT",34,3275," "," ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16337,"ELISEU DE ALMEIDA, AV",NA,"",0,"NULL",1,0,"ELISEU DE ALMEIDA, AV 2779 SAO PAULO SP",-23.5889016,-46.7329244
"10447","D061302057",12254,"JOAO MANOEL DE MATOS, RUA",NA,"",116,"","03/06/2013 13:30",2,"CO",70,2733," "," ",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12254,"JOAO MANOEL DE MATOS, RUA",NA,"",74,"SAO LUCAS",1,0,"JOAO MANOEL DE MATOS, RUA 116 SAO PAULO SP",-23.5994138,-46.5366826
"10448","D061301701",2483,"ATLANTICA ANT. ROBERT KENNEDY, AV",NA,"",1170,"","03/06/2013 13:40",2,"QM",102,1545," "," ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2483,"ATLANTICA ANT. ROBERT KENNEDY, AV",NA,"",23,"CIDADE DUTRA",1,0,"ATLANTICA ANT. ROBERT KENNEDY, AV 1170 SAO PAULO SP",-23.5505199,-46.6333094
"10449","D061301431",10270,"JOAO DIAS, AV",NA,"",66,"","03/06/2013 13:50",2,"CO",11,6383," "," ",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10270,"JOAO DIAS, AV",NA,"",72,"SANTO AMARO",1,0,"JOAO DIAS, AV 66 SAO PAULO SP",-23.644488,-46.7311702
"10451","D061300832",3655,"BRENTANO, RUA",NA,"",33,"","03/06/2013 14:00",2,"QM",91,4072," "," ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3655,"BRENTANO, RUA",NA,"",90,"VILA LEOPOLDINA",1,0,"BRENTANO, RUA 33 SAO PAULO SP",-23.5308603,-46.7240517
