"","id_acidente","codloga","logradouroA","codlogb","logradouroB","alt_num","referencia","data","cod_acid","tipo_acidente","dp","numero_BO","sentido","pista","automovel","moto","onibus","caminhao","bicicleta","moto_taxi","onibus_fretado","onibus_urbano","microonibus","van","vuc","caminhonete","carreta","jipe","outros","sem_informacao","carroca","princ_a","paiA","princ_b","paiB","cod_distrito","distrito","vit_ferida","vit_morta","local","lat","lon"
"5742","D031300236",6642,"ESTADO, AV DO",5567,"CRUZEIRO DO SUL, AV",0,"","30/03/2013 22:25",2,"CO",12,2309," "," ",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5567,"CRUZEIRO DO SUL, AV",6642,"ESTADO, AV DO",57,"PARI",1,0,"ESTADO, AV DO SAO PAULO SP &  CRUZEIRO DO SUL, AV SAO PAULO SP",-23.5635869,-46.6112253
"5743","D031301769",16492,"PONTES DE MORAIS, RUA",2522,"AUGUSTO DE CASTRO, AV",0,"","30/03/2013 22:40",2,"CF",98,3435," "," ",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522,"AUGUSTO DE CASTRO, AV",16492,"PONTES DE MORAIS, RUA",22,"CIDADE ADEMAR",1,0,"PONTES DE MORAIS, RUA SAO PAULO SP &  AUGUSTO DE CASTRO, AV SAO PAULO SP",-23.6898346,-46.6659443
"5744","D031302103",17135,"RIO DAS PEDRAS, AV",NA,"",1197,"","30/03/2013 23:10",2,"CO",41,3172," "," ",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17135,"RIO DAS PEDRAS, AV",NA,"",27,"CURSINO",2,0,"RIO DAS PEDRAS, AV 1197 SAO PAULO SP",-23.5654273,-46.5125478
"5745","D031301479",4502,"CARRAO, AV CONS",NA,"",3500,"","30/03/2013 23:30",2,"CO",31,1709," "," ",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4502,"CARRAO, AV CONS",NA,"",20,"CARRAO",3,0,"CARRAO, AV CONS 3500 SAO PAULO SP",-23.5458622,-46.5436243
"5746","D031301929",2516,"AUGUSTO CARLOS BAUMAN, RUA",NA,"",10,"","31/03/2013 00:40",2,"QM",32,2295," "," ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2516,"AUGUSTO CARLOS BAUMAN, RUA",NA,"",36,"ITAQUERA",1,0,"AUGUSTO CARLOS BAUMAN, RUA 10 SAO PAULO SP",-23.5309602,-46.4453914
"5747","D031301033",20089,"ZUQUIM, RUA DR",14916,"OLAVO EGIDIO, RUA DR",0,"","31/03/2013 01:30",2,"CO",9,2826," "," ",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14916,"OLAVO EGIDIO, RUA DR",20089,"ZUQUIM, RUA DR",71,"SANTANA",3,0,"ZUQUIM, RUA DR SAO PAULO SP &  OLAVO EGIDIO, RUA DR SAO PAULO SP",-23.491972,-46.6247361
"5748","D031301710",15507,"TEOTONIO VILELA, AV SEN",NA,"",8100,"","31/03/2013 02:30",2,"CO",85,2262," "," ",3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15507,"TEOTONIO VILELA, AV SEN",NA,"",23,"CIDADE DUTRA",4,0,"TEOTONIO VILELA, AV SEN 8100 SAO PAULO SP",-23.7672128,-46.7174003
"5749","D031301462",18068,"SERRA DE BRAGANCA, RUA",1967,"APUCARANA, RUA",0,"","31/03/2013 03:08",2,"CO",30,1710," "," ",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1967,"APUCARANA, RUA",18068,"SERRA DE BRAGANCA, RUA",82,"TATUAPE",3,0,"SERRA DE BRAGANCA, RUA SAO PAULO SP &  APUCARANA, RUA SAO PAULO SP",-23.5449429,-46.5682309
"5750","D031302398",17772,"SANT'ANNA, AV COMEN",NA,"",430,"","31/03/2013 06:44",2,"CO",47,3965," "," ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17772,"SANT'ANNA, AV COMEN",NA,"",29,"FREGUESIA DO O",0,1,"SANT'ANNA, AV COMEN 430 SAO PAULO SP",-23.5186813,-46.6999583
"5751","D031301669",29896,"PIRAJUSSARA-VALO VELHO, ES",NA,"",1548,"","31/03/2013 07:10",2,"CO",47,3968," "," ",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,29896,"PIRAJUSSARA-VALO VELHO, ES",NA,"",29,"FREGUESIA DO O",1,0,"PIRAJUSSARA-VALO VELHO, ES 1548 SAO PAULO SP",-23.5505199,-46.6333094
"5752","D031301832",15507,"TEOTONIO VILELA, AV SEN",NA,"",8110,"","31/03/2013 07:30",2,"CO",101,2267," "," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15507,"TEOTONIO VILELA, AV SEN",NA,"",23,"CIDADE DUTRA",1,0,"TEOTONIO VILELA, AV SEN 8110 SAO PAULO SP",-23.7713735,-46.7193271
"5753","D031301420",2181,"ARICANDUVA, AV",NA,"",3836,"","31/03/2013 08:30",2,"CO",21,3568," "," ",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2181,"ARICANDUVA, AV",NA,"",60,"PENHA",2,0,"ARICANDUVA, AV 3836 SAO PAULO SP",-23.5546489,-46.5180129
"5754","D031301680",9913,"JANGADEIRO, AV DO",NA,"",246,"","31/03/2013 09:00",2,"CO",48,3458,"B"," ",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9913,"JANGADEIRO, AV DO",NA,"",23,"CIDADE DUTRA",2,0,"JANGADEIRO, AV DO 246 SAO PAULO SP",-23.7066083,-46.7003517
"5756","D031301905",69854,"CAREIRO, RUA",NA,"",100,"","31/03/2013 09:47",4,"AT",24,3247," "," ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69854,"CAREIRO, RUA",NA,"",49,"LIBERDADE",1,0,"CAREIRO, RUA 100 SAO PAULO SP",-23.5030749,-46.5015899
"5757","D031300913",15626,"PAULA FERREIRA, AV",NA,"",2839,"","31/03/2013 10:40",2,"CF",87,2927," "," ",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15626,"PAULA FERREIRA, AV",NA,"",64,"PIRITUBA",4,0,"PAULA FERREIRA, AV 2839 SAO PAULO SP",-23.4890188,-46.7191514
"5758","D031300411",21185,"MASCOTE, AV",NA,"",267,"","31/03/2013 11:50",2,"CO",35,2877," "," ",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21185,"MASCOTE, AV",NA,"",0,"NULL",1,0,"MASCOTE, AV 267 SAO PAULO SP",-23.6484477,-46.6646802
"5759","D031301833",3509,"BELMIRA MARIN, AV DONA",NA,"",2662,"","31/03/2013 12:00",2,"CO",101,2271," "," ",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3509,"BELMIRA MARIN, AV DONA",NA,"",30,"GRAJAU",1,0,"BELMIRA MARIN, AV DONA 2662 SAO PAULO SP",-23.7525672,-46.6885788
"5760","D031301798",9220,"INTERLAGOS, AV",NA,"",3554,"","31/03/2013 12:30",2,"SI",99,4230," "," ",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9220,"INTERLAGOS, AV",NA,"",16,"CAMPO GRANDE",1,0,"INTERLAGOS, AV 3554 SAO PAULO SP",-23.6767357,-46.6817016
"5761","D031302379",9134,"INCONFIDENCIA MINEIRA, AV",2878,"BARREIRA GRANDE, AV DA",0,"","31/03/2013 12:30",4,"AT",69,3188," "," ",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2878,"BARREIRA GRANDE, AV DA",9134,"INCONFIDENCIA MINEIRA, AV",NA,"",0,1,"INCONFIDENCIA MINEIRA, AV SAO PAULO SP &  BARREIRA GRANDE, AV DA SAO PAULO SP",-23.577714,-46.516821
"5762","D031302196",36285,"ADRIANO BERTOZZI, AV",NA,"",1381,"","31/03/2013 12:39",2,"CO",53,2024," "," ",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36285,"ADRIANO BERTOZZI, AV",NA,"",51,"MANDAQUI",2,0,"ADRIANO BERTOZZI, AV 1381 SAO PAULO SP",-23.5743244,-46.458191
"5763","D031301670",9529,"ITAPECERICA, ES DE",NA,"",9950,"","31/03/2013 12:45",2,"CO",47,4010," "," ",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9529,"ITAPECERICA, ES DE",NA,"",29,"FREGUESIA DO O",1,0,"ITAPECERICA, ES DE 9950 SAO PAULO SP",-23.5505199,-46.6333094
"5764","D031302078",37269,"JARDIM TAMOIO, RUA",NA,"",100,"","31/03/2013 13:00",2,"CL",103,2312," "," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37269,"JARDIM TAMOIO, RUA",NA,"",51,"MANDAQUI",1,0,"JARDIM TAMOIO, RUA 100 SAO PAULO SP",-23.5550654,-46.4439139
"5765","D031300447",13739,"MAURICIO CARDOSO, RUA MAL",NA,"",100,"","31/03/2013 13:30",2,"CO",36,2289," "," ",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13739,"MAURICIO CARDOSO, RUA MAL",NA,"",53,"MOEMA",1,0,"MAURICIO CARDOSO, RUA MAL 100 SAO PAULO SP",-23.5814481,-46.6564255
"5767","D031302243",17824,"SAPOPEMBA, AV",NA,"",14034,"","31/03/2013 14:25",2,"CT",55,4319," "," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17824,"SAPOPEMBA, AV",NA,"",33,"IPIRANGA",2,0,"SAPOPEMBA, AV 14034 SAO PAULO SP",-23.6129582,-46.4725278
"5768","D031300075",5245,"CONSOLACAO, RUA DA",12132,"LUIS, AV S",0,"","31/03/2013 14:45",2,"CO",3,2515," "," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5245,"CONSOLACAO, RUA DA",19996,"XAVIER DE TOLEDO, RUA CEL",67,"REPUBLICA",1,0,"CONSOLACAO, RUA DA SAO PAULO SP &  LUIS, AV S SAO PAULO SP",-23.5471579,-46.6469857
"5769","D031301286",15425,"CANTIDIO SAMPAIO, AV DEP",NA,"",2551,"","31/03/2013 14:50",4,"AT",72,2774," "," ",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15425,"CANTIDIO SAMPAIO, AV DEP",NA,"",41,"JARAGUA",1,0,"CANTIDIO SAMPAIO, AV DEP 2551 SAO PAULO SP",-23.4590459,-46.6871718
"5770","D031301873",4409,"MOHAMAD IBRAHIN SALEH, RUA",NA,"",165,"","31/03/2013 15:00",4,"AT",22,2316," "," ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4409,"MOHAMAD IBRAHIN SALEH, RUA",NA,"",76,"SAO MIGUEL",1,0,"MOHAMAD IBRAHIN SALEH, RUA 165 SAO PAULO SP",-23.5065147,-46.437935
"5771","D031302277",17135,"RIO DAS PEDRAS, AV",75435,"ARRAIAS DO ARAGUAIA, AV",0,"","31/03/2013 15:00",2,"CO",66,2028," "," ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,17135,"RIO DAS PEDRAS, AV",34100,"CICERO CANUTO DE LIMA, AV PAST",4,"ARICANDUVA",2,0,"RIO DAS PEDRAS, AV SAO PAULO SP &  ARRAIAS DO ARAGUAIA, AV SAO PAULO SP",-23.5630062,-46.5152683
"5772","D031300801",34682,"CAMPO LIMPO, ES DO",NA,"",2518,"","31/03/2013 15:23",2,"SI",37,2570," "," ",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34682,"CAMPO LIMPO, ES DO",NA,"",17,"CAMPO LIMPO",1,0,"CAMPO LIMPO, ES DO 2518 SAO PAULO SP",-23.2019463,-46.785846
"5775","D031301230",18444,"SOTOMANO, RUA TTE",NA,"",1412,"","31/03/2013 16:00",4,"AT",39,3238," "," ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18444,"SOTOMANO, RUA TTE",NA,"",22,"CIDADE ADEMAR",1,0,"SOTOMANO, RUA TTE 1412 SAO PAULO SP",-23.5505199,-46.6333094
"5776","D031302055",21647,"JOAO BARBOSA DE LIMA, RUA",NA,"",337,"","31/03/2013 16:05",4,"AT",67,3908," "," ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21647,"JOAO BARBOSA DE LIMA, RUA",NA,"",50,"LIMAO",1,0,"JOAO BARBOSA DE LIMA, RUA 337 SAO PAULO SP",-23.5180565,-46.412053
"5777","D031300417",3913,"EMBIARA, RUA",NA,"",117,"","31/03/2013 16:19",4,"AT",35,4192," "," ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3913,"EMBIARA, RUA",NA,"",37,"JABAQUARA",1,0,"EMBIARA, RUA 117 SAO PAULO SP",-23.6502968,-46.653645
"5778","D031302207",99999,"METALURGICOS, AV DOS",NA,"",100,"","31/03/2013 16:30",2,"SI",54,1821," "," ",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99999,"METALURGICOS, AV DOS",NA,"",25,"CIDADE TIRADENT",1,0,"METALURGICOS, AV DOS 100 SAO PAULO SP",-23.5839781,-46.4090695
"5779","D031300869",16680,"PUJAIS SABATE, AV",17162,"RIO PEQUENO, AV DO",0,"","31/03/2013 16:30",4,"AT",51,2097," "," ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16680,"PUJAIS SABATE, AV",17162,"RIO PEQUENO, AV DO",68,"RIO PEQUENO",1,0,"PUJAIS SABATE, AV SAO PAULO SP &  RIO PEQUENO, AV DO SAO PAULO SP",-23.5705362,-46.7518541
"5780","D031301820",38494,"FUNCIONARIOS PUBLICOS, AV DOS",NA,"",1001,"","31/03/2013 18:00",2,"CO",100,3982," "," ",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38494,"FUNCIONARIOS PUBLICOS, AV DOS",NA,"",32,"IGUATEMI",2,0,"FUNCIONARIOS PUBLICOS, AV DOS 1001 SAO PAULO SP",-23.7380597,-46.7807337
"5781","D031301346",18594,"TAIPAS, ES",NA,"",1705,"","31/03/2013 18:15",4,"AT",74,2788," "," ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18594,"TAIPAS, ES",NA,"",52,"MARSILAC",1,0,"TAIPAS, ES 1705 SAO PAULO SP",-23.4261258,-46.7260757
"5782","D031300625",5105,"CLODOMIRO AMAZONAS, RUA",NA,"",815,"","31/03/2013 18:16",2,"CO",15,3038," "," ",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5105,"CLODOMIRO AMAZONAS, RUA",NA,"",34,"ITAIM BIBI",2,0,"CLODOMIRO AMAZONAS, RUA 815 SAO PAULO SP",-23.5913637,-46.6778167
"5784","D031302171",22406,"BARROS PENTEADO, RUA",NA,"",485,"","31/03/2013 19:00",4,"AT",49,4330," "," ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22406,"BARROS PENTEADO, RUA",NA,"",55,"MORUMBI",1,0,"BARROS PENTEADO, RUA 485 SAO PAULO SP",-23.5984906,-46.440503
"5785","D031301569",4736,"CELSO GARCIA, AV",NA,"",2477,"","31/03/2013 19:02",2,"QD",81,1724," "," ",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4736,"CELSO GARCIA, AV",NA,"",82,"TATUAPE",1,0,"CELSO GARCIA, AV 2477 SAO PAULO SP",-23.5364978,-46.5885459
"5786","D031300237",5567,"CRUZEIRO DO SUL, AV",32826,"PIETRO GIANNOCCARO, RUA",0,"","31/03/2013 19:20",2,"CO",12,2337," "," ",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5567,"CRUZEIRO DO SUL, AV",32826,"PIETRO GIANNOCCARO, RUA",57,"PARI",1,0,"CRUZEIRO DO SUL, AV SAO PAULO SP &  PIETRO GIANNOCCARO, RUA SAO PAULO SP",-23.5073033,-46.6250321
"5787","D031301693",34403,"AZAMBUJA SUZANO, RUA PROF",NA,"",159,"","31/03/2013 19:26",4,"AT",80,4198," "," ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,34403,"AZAMBUJA SUZANO, RUA PROF",NA,"",29,"FREGUESIA DO O",1,0,"AZAMBUJA SUZANO, RUA PROF 159 SAO PAULO SP",-23.6818598,-46.6646222
"5789","D031301231",1816,"ANTONIO PAIVA SAMPAIO, AV COMTE",NA,"",132,"","31/03/2013 19:30",2,"CO",39,3251,"B"," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1816,"ANTONIO PAIVA SAMPAIO, AV COMTE",NA,"",84,"TUCURUVI",1,0,"ANTONIO PAIVA SAMPAIO, AV COMTE 132 SAO PAULO SP",-23.4749987,-46.5952069
"5790","D031302047",9580,"ITAQUERA, AV",NA,"",8266,"","31/03/2013 19:30",2,"CT",65,3290," "," ",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9580,"ITAQUERA, AV",NA,"",24,"CIDADE LIDER",2,0,"ITAQUERA, AV 8266 SAO PAULO SP",-23.5399255,-46.4566127
"5791","D031300597",6897,"FARIA LIMA, AV BRIG",NA,"",1336,"","31/03/2013 20:39",4,"AT",14,3035," "," ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6897,"FARIA LIMA, AV BRIG",NA,"",63,"PINHEIROS",1,0,"FARIA LIMA, AV BRIG 1336 SAO PAULO SP",-23.5694812,-46.6919106
"5792","D031301385",18724,"TARUMA, AV",43777,"CARVALHO PINTO, AV GOV",0,"","31/03/2013 21:00",4,"AT",10,3591," "," ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18724,"TARUMA, AV",43777,"CARVALHO PINTO, AV GOV",18,"CANGAIBA",1,0,"TARUMA, AV SAO PAULO SP &  CARVALHO PINTO, AV GOV SAO PAULO SP",-23.5116736,-46.5269265
"5793","D031301630",15507,"TEOTONIO VILELA, AV SEN",33095,"HERMOGENES DE F. LEITAO FILHO, EST",0,"","31/03/2013 21:30",2,"CF",25,2274," "," ",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15507,"TEOTONIO VILELA, AV SEN",33095,"HERMOGENES DE F. LEITAO FILHO, EST",56,"PARELHEIROS",1,0,"TEOTONIO VILELA, AV SEN SAO PAULO SP &  HERMOGENES DE F. LEITAO FILHO, EST SAO PAULO SP",-23.7290679,-46.698928
"5794","D031302218",45521,"ELOA DO VALLE QUADROS, RUA DNA",NA,"",400,"","31/03/2013 21:45",4,"AT",54,4340," "," ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45521,"ELOA DO VALLE QUADROS, RUA DNA",NA,"",25,"CIDADE TIRADENT",1,0,"ELOA DO VALLE QUADROS, RUA DNA 400 SAO PAULO SP",-23.5901238,-46.4118397
"5795","D031301358",4521,"CARVALHO MOURAO, RUA MIN",NA,"",10,"","31/03/2013 22:00",2,"CO",90,3252," "," ",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4521,"CARVALHO MOURAO, RUA MIN",NA,"",94,"VILA MEDEIROS",2,0,"CARVALHO MOURAO, RUA MIN 10 SAO PAULO SP",-23.4921712,-46.5712951
"5796","D031300517",4801,"CHARLES HOYT, RUA",NA,"",23,"","31/03/2013 22:02",4,"AT",97,2714," "," ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4801,"CHARLES HOYT, RUA",NA,"",37,"JABAQUARA",1,0,"CHARLES HOYT, RUA 23 SAO PAULO SP",-23.6609834,-46.6419099
"5797","D031300273",2497,"AUGUSTA, RUA",7306,"FRANCA, AL",0,"","31/03/2013 22:08",2,"CF",78,2523," "," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2497,"AUGUSTA, RUA",7306,"FRANCA, AL",44,"JARDIM PAULISTA",1,0,"AUGUSTA, RUA SAO PAULO SP &  FRANCA, AL SAO PAULO SP",-23.5560595,-46.658132
"5798","D031300468",5618,"CURSINO, AV DO",NA,"",3400,"","31/03/2013 22:50",2,"CF",83,2717," "," ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5618,"CURSINO, AV DO",NA,"",27,"CURSINO",2,0,"CURSINO, AV DO 3400 SAO PAULO SP",-23.6312989,-46.617461
"5799","D031302173",1393,"ANGELO DE CANDIA, RUA",NA,"",1949,"","31/03/2013 23:00",2,"SI",49,4354," "," ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1393,"ANGELO DE CANDIA, RUA",NA,"",75,"SAO MATEUS",1,0,"ANGELO DE CANDIA, RUA 1949 SAO PAULO SP",-23.6054318,-46.4780398
"5800","D031301991",13881,"MIGUEL, AV S",46936,"JACU-PESSEGO/NOVA TRABALHADORE, AV",0,"","31/03/2013 23:03",2,"CT",63,2367," "," ",2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13881,"MIGUEL, AV S",46936,"JACU-PESSEGO/NOVA TRABALHADORE, AV",89,"VILA JACUI",2,0,"MIGUEL, AV S SAO PAULO SP &  JACU-PESSEGO/NOVA TRABALHADORE, AV SAO PAULO SP",-23.513252,-46.517118
"5801","D031300598",2149,"ARCOVERDE, RUA CARD",NA,"",2432,"","31/03/2013 23:56",2,"QM",14,3043," "," ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2149,"ARCOVERDE, RUA CARD",NA,"",44,"JARDIM PAULISTA",1,0,"ARCOVERDE, RUA CARD 2432 SAO PAULO SP",-23.5654263,-46.6932772
"5802","D041302050",2945,"BRASILIO BARNI, RUA PROF",NA,"",300,"","01/04/2013 00:00",2,"QM",49,4382," "," ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2945,"BRASILIO BARNI, RUA PROF",NA,"",75,"SAO MATEUS",2,0,"BRASILIO BARNI, RUA PROF 300 SAO PAULO SP",-23.5960431,-46.4844487
"5803","D041302240",78277,"MANUEL FRANCA DOS SANTOS, RUA",NA,"",174,"","01/04/2013 00:24",2,"QM",69,3216," "," ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78277,"MANUEL FRANCA DOS SANTOS, RUA",NA,"",56,"PARELHEIROS",0,1,"MANUEL FRANCA DOS SANTOS, RUA 174 SAO PAULO SP",-23.6105222,-46.4931616
"5804","D041301955",21253,"AGUIA DE HAIA, AV",NA,"",4000,"","01/04/2013 01:08",2,"CO",64,3309," "," ",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21253,"AGUIA DE HAIA, AV",NA,"",0,"NULL",3,0,"AGUIA DE HAIA, AV 4000 SAO PAULO SP",-23.5108914,-46.4771778
"5805","D041301094",10945,"JOSE ERMIRIO DE MORAES, AV SEN",NA,"",1707,"","01/04/2013 02:30",2,"CO",20,2853," "," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10945,"JOSE ERMIRIO DE MORAES, AV SEN",NA,"",83,"TREMEMBE",1,0,"JOSE ERMIRIO DE MORAES, AV SEN 1707 SAO PAULO SP",-23.4421329,-46.6156781
"5806","D041301092",8436,"GUATIAIA, RUA",NA,"",6,"","01/04/2013 02:56",2,"CH",20,2851," "," ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8436,"GUATIAIA, RUA",NA,"",8,"BELEM",2,0,"GUATIAIA, RUA 6 SAO PAULO SP",-23.4829989,-46.621498
"5807","D041300515",16740,"QUINTANA, RUA",NA,"",915,"","01/04/2013 05:54",2,"CL",96,1448," "," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16740,"QUINTANA, RUA",NA,"",30,"GRAJAU",1,0,"QUINTANA, RUA 915 SAO PAULO SP",-23.6024677,-46.6929044
"5808","D041301930",13881,"MIGUEL, AV S",NA,"",7900,"","01/04/2013 06:40",4,"AT",63,2332," "," ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13881,"MIGUEL, AV S",NA,"",65,"PONTE RASA",1,0,"MIGUEL, AV S 7900 SAO PAULO SP",-23.4980316,-46.4610173
"5809","D041301667",8368,"GUARAPIRANGA, AV",35858,"GUIDO CALOI, AV",0,"","01/04/2013 06:51",2,"CO",92,2065,"B"," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8368,"GUARAPIRANGA, AV",35858,"GUIDO CALOI, AV",45,"JARDIM SAO LUIS",1,0,"GUARAPIRANGA, AV SAO PAULO SP &  GUIDO CALOI, AV SAO PAULO SP",-23.6663547,-46.7199235
"5810","D041301608",9529,"ITAPECERICA, ES DE",NA,"",6358,"","01/04/2013 07:00",2,"CO",47,3994," "," ",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9529,"ITAPECERICA, ES DE",NA,"",29,"FREGUESIA DO O",1,0,"ITAPECERICA, ES DE 6358 SAO PAULO SP",-23.5505199,-46.6333094
"5811","D041301095",61359,"ALCINDO BUENO DE ASSIS, RUA",NA,"",2000,"","01/04/2013 07:05",4,"AT",20,2869," "," ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61359,"ALCINDO BUENO DE ASSIS, RUA",NA,"",22,"CIDADE ADEMAR",1,0,"ALCINDO BUENO DE ASSIS, RUA 2000 SAO PAULO SP",-23.4687166,-46.6088957
"5812","D041300406",7882,"GEORGE CORBISIER, AV ENG",NA,"",119,"","01/04/2013 07:15",2,"CO",35,2872,"C"," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7882,"GEORGE CORBISIER, AV ENG",NA,"",37,"JABAQUARA",1,0,"GEORGE CORBISIER, AV ENG 119 SAO PAULO SP",-23.6382367,-46.6418525
"5814","D041301139",15188,"OTAVIANO ALVES DE LIMA, AV",NA,"",3600,"","01/04/2013 07:30",2,"CO",28,1955," "," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29772,"MARGINAL DO RIO TIETE, AV",NA,"",23,"CIDADE DUTRA",1,0,"OTAVIANO ALVES DE LIMA, AV 3600 SAO PAULO SP",-23.5076573,-46.6915283
"5815","D041302156",21661,"EDGARD PINTO CESAR, RUA",NA,"",417,"","01/04/2013 07:44",4,"AT",70,1764," "," ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21661,"EDGARD PINTO CESAR, RUA",NA,"",56,"PARELHEIROS",1,0,"EDGARD PINTO CESAR, RUA 417 SAO PAULO SP",-23.613593,-46.5077695
"5816","D041300496",11562,"LAGRIMAS, ES DAS",NA,"",1462,"","01/04/2013 07:45",2,"QM",95,1714," "," ",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11562,"LAGRIMAS, ES DAS",NA,"",69,"SACOMA",2,0,"LAGRIMAS, ES DAS 1462 SAO PAULO SP",-23.5505199,-46.6333094
"5817","D041300554",24491,"IMIGRANTES, VIA DOS",NA,"",9,"","01/04/2013 07:50",2,"CO",97,1166," "," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24491,"IMIGRANTES, VIA DOS",NA,"",NA,"",2,0,"IMIGRANTES, VIA DOS 9 SAO PAULO SP",-23.4467654,-46.6890267
"5818","D041302242",1344,"ANGA, RUA",NA,"",896,"","01/04/2013 08:00",4,"AT",53,2189," "," ",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1344,"ANGA, RUA",NA,"",87,"VILA FORMOSA",0,1,"ANGA, RUA 896 SAO PAULO SP",-23.56935,-46.541792
"5819","D041301534",9600,"BRAGANCA PAULISTA, RUA",NA,"",266,"","01/04/2013 08:00",4,"AT",11,353," "," ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9600,"BRAGANCA PAULISTA, RUA",NA,"",72,"SANTO AMARO",1,0,"BRAGANCA PAULISTA, RUA 266 SAO PAULO SP",-23.6420057,-46.7123287
