,id_acidente,codloga,logradouroA,codlogb,logradouroB,alt_num,referencia,data,cod_acid,tipo_acidente,dp,numero_BO,sentido,pista,automovel,moto,onibus,caminhao,bicicleta,moto_taxi,onibus_fretado,onibus_urbano,microonibus,van,vuc,caminhonete,carreta,jipe,outros,sem_informacao,carroca,princ_a,paiA,princ_b,paiB,cod_distrito,distrito,vit_ferida,vit_morta,local,lat,lon,loc/type,loc/coordinates/0,loc/coordinates/1
2739,D021300066,14804,"NOVE DE JULHO, AV",NA,,1239,,18/02/2013 06:40,2,QM,4,1223, , ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14804,"NOVE DE JULHO, AV",NA,,63,PINHEIROS,1,0,"NOVE DE JULHO, AV 1239 SAO PAULO SP",-23.5543736,-46.6482959,Point,-46.6482959,-23.5543736
2800,D021300068,5245,"CONSOLACAO, RUA DA",NA,,1611,,18/02/2013 21:30,2,CT,4,1321, , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5245,"CONSOLACAO, RUA DA",NA,,26,CONSOLACAO,1,0,"CONSOLACAO, RUA DA 1611 SAO PAULO SP",-23.5511641,-46.6558165,Point,-46.6558165,-23.5511641
2999,D021300074,17517,"RUI BARBOSA, RUA",19154,"TREZE DE MAIO, RUA",0,,21/02/2013 14:42,4,AT,5,297, , ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17517,"RUI BARBOSA, RUA",19154,"TREZE DE MAIO, RUA",NA,,1,0,"RUI BARBOSA, RUA SAO PAULO SP &  TREZE DE MAIO, RUA SAO PAULO SP",-23.5607,-46.6452321,Point,-46.6452321,-23.5607
3427,D021300618,46890,"ALEXIOS JAFET (ESTR.CAMPINAS), AV",NA,,1315,,27/02/2013 22:30,4,AT,46,1843, , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46890,"ALEXIOS JAFET (ESTR.CAMPINAS), AV",NA,,41,JARAGUA,1,0,"ALEXIOS JAFET (ESTR.CAMPINAS), AV 1315 SAO PAULO SP",-23.5714505,-46.658598,Point,-46.658598,-23.5714505
10257,D051300094,13984,"MINAS GERAIS, RUA",2271,"ARNALDO, AV DR",0,,31/05/2013 17:00,4,AT,4,3887, , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2271,"ARNALDO, AV DR",13984,"MINAS GERAIS, RUA",26,CONSOLACAO,1,0,"MINAS GERAIS, RUA SAO PAULO SP &  ARNALDO, AV DR SAO PAULO SP",-23.5527426,-46.6624304,Point,-46.6624304,-23.5527426
7364,D041300142,17517,"RUI BARBOSA, RUA",NA,,618,,21/04/2013 11:39,4,AT,5,3210,C, ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17517,"RUI BARBOSA, RUA",NA,,17,CAMPO LIMPO,1,0,"RUI BARBOSA, RUA 618 SAO PAULO SP",-23.561014,-46.6451838,Point,-46.6451838,-23.561014
8016,D041300304,11989,"LORENA, AL",NA,,319,,30/04/2013 18:00,2,CO,78,3601, , ,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11989,"LORENA, AL",NA,,44,JARDIM PAULISTA,1,0,"LORENA, AL 319 SAO PAULO SP",-23.5716679,-46.6577044,Point,-46.6577044,-23.5716679
2971,D021300072,5245,"CONSOLACAO, RUA DA",NA,,1600,,21/02/2013 08:40,2,CO,4,1852, , ,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5245,"CONSOLACAO, RUA DA",NA,,26,CONSOLACAO,1,0,"CONSOLACAO, RUA DA 1600 SAO PAULO SP",-23.5509726,-46.6560851,Point,-46.6560851,-23.5509726
12390,D061300112,7285,"FORTALEZA, RUA",16849,"RAMALHO, RUA CONS",0,,30/06/2013 09:30,2,CO,5,5755, , ,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7285,"FORTALEZA, RUA",16849,"RAMALHO, RUA CONS",7,BELA VISTA,2,0,"FORTALEZA, RUA SAO PAULO SP &  RAMALHO, RUA CONS SAO PAULO SP",-23.5598233,-46.6450875,Point,-46.6450875,-23.5598233
4242,D031300126,15656,"PAULISTA, AV",NA,,459,,10/03/2013 05:45,2,CO,5,1881, , ,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15656,"PAULISTA, AV",NA,,7,BELA VISTA,1,0,"PAULISTA, AV 459 SAO PAULO SP",-23.5687005,-46.6481902,Point,-46.6481902,-23.5687005
